Sr. No.,Code,Algorithm
50,"# AIM : Travellinng Salesperson Problem 

from sys import maxsize
from itertools import permutations
V = 4                                                                                                                     
def travellingSalesmanProblem(graph, s):
    vertex = []
    for i in range(V):
        if i != s:
            vertex.append(i)

    min_path = maxsize
    next_permutation=permutations(vertex)
    for i in next_permutation:
        current_pathweight = 0
        k = s
        for j in i:
            current_pathweight += graph[k][j]
            k = j
        current_pathweight += graph[k][s]
        min_path = min(min_path, current_pathweight)

    return min_path
if __name__ == ""__main__"":
    graph = [[0, 10, 15, 20], [10, 0, 35, 25],
            [15, 35, 0, 30], [20, 25, 30, 0]]
    s = 0
    print(travellingSalesmanProblem(graph, s))","1. Define a function named travellingSalesmanProblem which takes two arguments - graph and starting vertex s.
2. Create an empty list named vertex.
3. For i in range(V), append i to the vertex list if i is not equal to s.
4. Initialize a variable min_path with maximum integer value.
5. Generate all possible permutations of the vertex list and store it in a variable named next_permutation.
6. For each permutation in next_permutation, initialize current_pathweight to 0 and k to s.
7. For each j in the current permutation, 8. add the weight of the edge from k to j in current_pathweight and update k as j.
9. Add the weight of the edge from k to s in current_pathweight.
10. Find the minimum of min_path and current_pathweight and store it in min_path.
11. Return the value of min_path.
12. In the main block of the code, create a graph using a 2D array.
13. Initialize the starting vertex s to 0.
14. Call the travellingSalesmanProblem function with the graph and starting vertex s as arguments.
15. Print the returned value."
51,"# AIM : Python Program to implement monkey banana problem 

import random

class Monkey:
    def __init__(self, bananas):
        self.bananas = bananas
        
    def __repr__(self):
        return ""Monkey with %d bananas."" % self.bananas
    
monkeys = [Monkey(random.randint(0, 50)) for i in range(5)]
print (""Random monkeys:"")
print (monkeys)

print()                                                                                                       def number_of_bananas(monkey):
    """"""Returns number of bananas that monkey has.""""""
    return monkey.bananas

print (""number_of_bananas( FIRST MONKEY ): "", number_of_bananas(monkeys[0]))

print()

max_monkey = max(monkeys, key=number_of_bananas)
print (""Max monkey: "", max_monkey)","1. Create a Monkey class with an attribute bananas.
2. Initialize a list of 5 Monkey objects with random integers from 0 to 50.
3. Define a function number_of_bananas that takes a monkey as input and returns the number of bananas it has.
4. Find the monkey with the most bananas using the max function and the number_of_bananas function.
5. Print the list of monkeys, the number of bananas of the first monkey, and the monkey with the most bananas."
52,"from queue import PriorityQueue

def uniform_cost_search(start, goal, successors, cost):
    # Create a priority queue for the search frontier
    frontier = PriorityQueue()
    # Add the start state to the frontier with priority 0
    frontier.put((0, start))
    # Create an empty set to store visited states
    visited = set()
    # Create a dictionary to store the cost to reach each state
    costs = {start: 0}
    # Create a dictionary to store the predecessor of each state
    predecessors = {start: None}

    # Start the search
    while not frontier.empty():
        # Pop the state with the lowest priority (i.e. lowest cost so far)
        _, state = frontier.get()
        # Check if we have reached the goal state
        if state == goal:
            # Reconstruct the path to the goal state
            path = []
            while state is not None:
                path.append(state)
                state = predecessors[state]
            path.reverse()
            return path

        # Mark the current state as visited
        visited.add(state)

        # Expand the current state and add its successors to the frontier
        for successor in successors(state):
            new_cost = costs[state] + cost(state, successor)
            if successor not in visited and (successor not in costs or new_cost < costs[successor]):
                frontier.put((new_cost, successor))
                costs[successor] = new_cost
                predecessors[successor] = state

    # If we get here, we have not found a path to the goal state
    return None","from queue import PriorityQueue

# Define a node class to represent each state in the search space
class Node:
    def __init__(self, state, cost):
        self.state = state
        self.cost = cost

    # Define comparison operator to allow PriorityQueue to compare nodes based on their cost values
    def __lt__(self, other):
        return self.cost < other.cost

def uniform_cost_search(start_state, goal_state, successors, heuristic):
    # Initialize frontier and explored sets
    frontier = PriorityQueue()
    explored = set()

    # Add the start node to the frontier
    frontier.put(Node(start_state, 0))

    while not frontier.empty():
        # Remove the node with the lowest cost from the frontier
        current_node = frontier.get()

        # Check if current node is the goal state
        if current_node.state == goal_state:
            return current_node.cost

        # Add current node to explored set
        explored.add(current_node.state)

        # Generate successor nodes and add them to the frontier
        for action, state, cost in successors(current_node.state):
            if state not in explored:
                new_node = Node(state, current_node.cost + cost)
                frontier.put(new_node)

    # If goal state not found, return failure
    return None"
53,"# Python program to check if a number is prime or not

def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True

num = int(input(""Enter a number: ""))
if is_prime(num):
    print(num, ""is a prime number"")
else:
    print(num, ""is not a prime number"")","1. Define a function is_prime(n) to check if a number is prime or not
2. If the number is less than or equal to 1, return False
3. Loop through all the numbers from 2 to the square root of the number + 1
4. If the number is divisible by any number between 2 and its square root, return False
5. Otherwise, return True
6. Take input from the user for a number
7. If the number is prime, print it is a prime number
8. Otherwise, print it is not a prime number"
54,"def linear_search(arr, x):
    for i in range(len(arr)):
        if arr[i] == x:
            return i
    return -1","1. Set arr to the input array and x to the input search value.
2. Loop over the indices i in the range of the length of the array.
3. If the value of arr[i] is equal to x, return i.
4. If the loop completes without finding x, return -1."
55,"def selection_sort(arr):\n    for i in range(len(arr)):\n        min_idx = i\n        for j in range(i+1, len(arr)):\n            if arr[min_idx] > arr[j]:\n                min_idx = j\n        arr[i], arr[min_idx] = arr[min_idx], arr[i]","1. Start\n2. For i in range(len(arr)):\n3.    Set min_idx = i\n4.    For j in range(i+1, len(arr)):\n5.        If arr[min_idx] > arr[j], set min_idx = j\n6.    Swap arr[i] and arr[min_idx]\n7. Stop"
56,"def binary_search(arr, x):
    low = 0
    high = len(arr) - 1
    mid = 0
    while low <= high:
        mid = (high + low) // 2
        if arr[mid] < x:
            low = mid + 1
        elif arr[mid] > x:
            high = mid - 1
        else:
            return mid
    return -1","1. Start
2. Read the array arr and the value x to search for
3. Set low = 0, high = length of arr - 1
4. While low is less than or equal to high, do steps 5-9
5. Set mid = (high + low) // 2
6. If arr[mid] is less than x, set low = mid + 1
7. Else if arr[mid] is greater than x, set high = mid - 1
8. Else return mid
9. If x is not found, return -1
10. Stop"
57,"# Insertion sort using a for loop
def insertion_sort1(arr):
    for i in range(1, len(arr)):
        key = arr[i]
        j = i - 1
        while j >= 0 and key < arr[j]:
            arr[j+1] = arr[j]
            j -= 1
        arr[j+1] = key
    return arr                                                                                                          # Example usage                                                                                                   arr = [12, 11, 13, 5, 6]
print(insertion_sort1(arr))","1. Take the first element of the array as sorted and compare the next element with it.
2. If the next element is greater than the sorted element, then leave it as it is and move to the next element.
3. If the next element is smaller than the sorted element, then shift the sorted element to the next position and compare the next element with it.
4. Repeat step 3 until the element is in the correct position.
5. Repeat steps 2-4 for all elements in the array."
58,"
# Insertion sort using a while loop
def insertion_sort2(arr):
    for i in range(1, len(arr)):
        key = arr[i]
        j = i - 1
        while j >= 0 and key < arr[j]:
            arr[j+1] = arr[j]
            j -= 1
        arr[j+1] = key
    return arr                                                                                                                  # Example usage
arr = [12, 11, 13, 5, 6]
print(insertion_sort2(arr))","1. Take the first element of the array as sorted and compare the next element with it.
2. If the next element is greater than the sorted element, then leave it as it is and move to the next element.
3. If the next element is smaller than the sorted element, then shift the sorted element to the next position and compare the next element with it.
4. Repeat step 3 until the element is in the correct position.
5. Repeat steps 2-4 for all elements in the array."
59,"# Insertion sort using recursion
def insertion_sort3(arr):
    if len(arr) <= 1:
        return arr
    else:
        key = arr[0]
        rest = insertion_sort3(arr[1:])
        i = 0
        while i < len(rest) and key > rest[i]:
            i += 1
        return rest[:i] + [key] + rest[i:]

# Example usage
arr = [12, 11, 13, 5, 6]
print(insertion_sort3(arr))","1. Take the first element of the array as sorted and compare the next element with it.
2. If the next element is greater than the sorted element, then leave it as it is and move to the next element.
3. If the next element is smaller than the sorted element, then shift the sorted element to the next position and compare the next element with it.
4. Repeat step 3 until the element is in the correct position.
5. Repeat steps 2-4 for all elements in the array."
60,"def quick_sort(arr):
    if len(arr) <= 1:
        return arr
    else:
        pivot = arr[0]
        left = [x for x in arr[1:] if x < pivot]
        right = [x for x in arr[1:] if x >= pivot]
        return quick_sort(left) + [pivot] + quick_sort(right)","1. Select a pivot element from the array.
2. Partition the array such that all elements less than the pivot are on the left and all elements greater than the pivot are on the right.
3. Recursively apply the above steps to the subarrays on the left and right of the pivot."
61,"import random

def randomized_quick_sort(arr):
    if len(arr) <= 1:
        return arr
    else:
        pivot = random.choice(arr)
        left = [x for x in arr if x < pivot]
        middle = [x for x in arr if x == pivot]
        right = [x for x in arr if x > pivot]
        return randomized_quick_sort(left) + middle + randomized_quick_sort(right)","1. Select a random pivot element from the array.
2. Partition the array such that all elements less than the pivot are on the left and all elements greater than the pivot are on the right.
3. Recursively apply the above steps to the subarrays on the left and right of the pivot."
62,"def in_place_quick_sort(arr, low, high):
    if low < high:
        pivot_index = partition(arr, low, high)
        in_place_quick_sort(arr, low, pivot_index - 1)
        in_place_quick_sort(arr, pivot_index + 1, high)

def partition(arr, low, high):
    pivot = arr[high]
    i = low - 1
    for j in range(low, high):
        if arr[j] <= pivot:
            i += 1
            arr[i], arr[j] = arr[j], arr[i]
    arr[i+1], arr[high] = arr[high], arr[i+1]
    return i + 1","1. Select a pivot element from the array.
2. Partition the array such that all elements less than the pivot are on the left and all elements greater than the pivot are on the right.
3. Recursively apply the above steps to the subarrays on the left and right of the pivot.
4. The in-place version of quick sort swaps elements within the original array rather than creating new subarrays."
63,"def gcd(a, b):
    if b == 0:
        return a
    else:
        return gcd(b, a % b)

a = int(input(""Enter first number: ""))
b = int(input(""Enter second number: ""))
print(""GCD of"", a, ""and"", b, ""is"", gcd(a, b))","1. Input two numbers a and b
2. If b is equal to 0, return a as the GCD
3. Else, compute the remainder of a divided by b          4. Recursively call the function with b and the remainder as arguments"
64,"def is_palindrome(s):
    s = s.lower().replace("" "", """")
    i, j = 0, len(s)-1
    while i < j:
        if s[i] != s[j]:
            return False
        i += 1
        j -= 1
    return True

s = input(""Enter a string: "")
if is_palindrome(s):
    print(s, ""is a palindrome"")
else:
    print(s, ""is not a palindrome"")","1. Input a string
2. Convert the string to lowercase and remove any spaces
3. Initialize two pointers, one at the beginning of the string and one at the end
4. While the pointers don't cross each other, do:
a. If the characters at the two pointers are not the same, the string is not a palindrome
b. Move the pointers towards each other
5. If the pointers have crossed each other, the string is a palindrome"
65,"def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5)+1):
        if n % i == 0:
            return False
    return True

n = int(input(""Enter a number: ""))
sum = 0
for i in range(2, n+1):
    if is_prime(i):
        sum += i
print(""Sum of prime numbers between 1 and"", n, ""is"", sum)","1. Input a number N
2. Initialize a variable sum to 0
3. For i in range from 2 to N, do:
a. If i is prime, add it to sum
4. Print sum"
66,"def find_min_max(arr):
    n = len(arr)
    if n == 1:
        return arr[0], arr[0]
    elif n == 2:
        if arr[0] > arr[1]:
            return arr[1], arr[0]
        else:
            return arr[0], arr[1]
    else:
        # initialize min and max to the first element of the array
        if arr[0] > arr[1]:
            max_val = arr[0]
            min_val = arr[1]
        else:
            max_val = arr[1]
            min_val = arr[0]

        for i in range(2, n):
            # update max value
            if arr[i] > max_val:
                max_val = arr[i]
            # update min value
            elif arr[i] < min_val:
                min_val = arr[i]

        return min_val, max_val


# Example usage
arr = [3, 5, 1, 8, 2, 9, 4, 7, 6]
min_val, max_val = find_min_max(arr)
print(""Minimum element is:"", min_val)
print(""Maximum element is:"", max_val)","Input: An array of n elements

Output: Maximum and minimum elements in the array

1. Initialize max and min to the first element of the array. 
2. For i in range from 1 to n-1, do:
a. If the i-th element of the array is greater than max, set max to that element
b. If the i-th element of the array is less than min, set min to that element
3. Return max and min"
67,"import math

def sieve_of_eratosthenes(n):
    primes = [True] * (n+1)
    primes[0] = primes[1] = False
    for i in range(2, int(math.sqrt(n))+1):
        if primes[i]:
            for j in range(i*i, n+1, i):
                primes[j] = False
    for i in range(2, n+1):
        if primes[i]:
            print(i)

sieve_of_eratosthenes(50)","1. Create a boolean array of size n+1, where each element is initialized to True
2. For each number i in the range 2 to square root of n:
a. If the i-th element is True, then set all multiples of i as False in the array
 3. Print all numbers in the array that are True (i.e., prime numbers)"
68,"def merge_sort(arr):
    if len(arr) <= 1:
        return arr

    mid = len(arr) // 2
    left = merge_sort(arr[:mid])
    right = merge_sort(arr[mid:])

    i = j = 0
    merged = []

    while i < len(left) and j < len(right):
        if left[i] <= right[j]:
            merged.append(left[i])
            i += 1
        else:
            merged.append(right[j])
            j += 1

    merged.extend(left[i:])
    merged.extend(right[j:])

    return merged","1. If the length of the array is less than or equal to 1, return the array.
2. Divide the array into two halves.
3. Recursively sort the left half and right half of the array.
4. Merge the two sorted halves."
69,"from collections import deque

def merge_sort(arr):
    if len(arr) <= 1:
        return arr

    mid = len(arr) // 2
    left = merge_sort(arr[:mid])
    right = merge_sort(arr[mid:])

    merged = deque()
    left = deque(left)
    right = deque(right)

    while left and right:
        if left[0] <= right[0]:
            merged.append(left.popleft())
        else:
            merged.append(right.popleft())

    merged.extend(left)
    merged.extend(right)

    return list(merged)","1. If the length of the array is less than or equal to 1, return the array.
2.Divide the array into two halves.
3. Recursively sort the left half and right half of the array.
4. Merge the two sorted halves."
70,"def merge_sort(arr):
    if len(arr) <= 1:
        return arr

    mid = len(arr) // 2
    left = merge_sort(arr[:mid])
    right = merge_sort(arr[mid:])

    i = j = k = 0

    while i < len(left","1. If the length of the array is less than or equal to 1, return the array.
2. Divide the array into two halves.
3. Recursively sort the left half and right half of the array.
4. Merge the two sorted halves in-place."
71,"def isPalindrome(s): return s == s[::-1] # Driver code s = ""kayak"" ans = isPalindrome(s) if ans: print(""Yes"") else: print(""No"")","1.We create a function ispalindrome
2. Return a variable by slicing the parameter in a reverse way
3.In our driver code, we wrote a string 
4. Finally, in our if-else condition, we execute if it is a palindrome print yes or print no"
72,"def isPalindrome(str): for i in range(O, int(len(str)/2)): if str[i] != str[len(str)-i-1]: return False return True # main function s = ""kayak"" ans = isPalindrome(s) if (ans): print(""Yes"") else: print(""No"")","1. A loop is run from starting to half the length and checking the first character to the last character of the string.
2. And check from the second character to the second last character of the string.
3. If any of the characters are mismatched, it is not a palindrome."
73,"def isPalindrome(s): rev = ‘'.join(reversed(s)) if (s == rev): return True return False # main function s = ""kayak"" ans = isPalindrome(s) if(ans): print(""Yes"") else: print(""No"")","1. We create a function ispalindrome
2. Use a predefined function ‘.join’ to reverse the input
3. Check if both s and rev are same or not
4. if yes then print ""Yes""
5. Else print ""No"""
74,"def isPalindrome(s): s = s.lower() 1 = len(s) if 1 <2: return True elif s(0) == s{l - 1): return isPalindrome(s[1: l - 1]) else: return False s = ""Kayak"" ans = isPalindrome(s) if ans: print(""Yes"") y else: print(""No"")","1. We create a function called ispalindrome
2. Compare the first and last element of the string.
3. Give the rest of the substring a recursive call to itself so that whole string will get compared for first and last element."
75,"import math

num = 5 
factorial = math.factorial(num)

print(""The factorial of"", num, ""is"", factorial)","1. Get a positive integer input (n) from the user.
2. Iterate from 1 to n using a for loop (for loop is used to increment the number up to the given input)
3. Using the below formula, calculate the factorial of a number = f*i.
4. Print the output i.e the calculated factorial."
76,"n = int (input (""Enter a number: ""))
factorial = 1
if n >= 1:
    for i in range (1, n+1):
        factorial=factorial *i
print(""Factorial of the given number is: "", factorial)","1. Get a positive integer input (n) from the user.
2. Iterate from 1 to n using a for loop (for loop is used to increment the number up to the given input)
3. Using the below formula, calculate the factorial of a number = f*i.
4. Print the output i.e the calculated factorial."
77,"# Factorial of a number using recursion
def recur_factorial(n):
   if n == 1:
       return n
   else:
       return n*recur_factorial(n-1)

num = 5

# check if the number is negative
if num < 0:
   print(""Sorry, factorial does not exist for negative numbers"")
elif num == 0:
   print(""The factorial of 0 is 1"")
else:
   print(""The factorial of"", num, ""is"", recur_factorial(num))","1. Get a positive integer input (n) from the user.
2. Iterate from 1 to n using a for loop (for loop is used to increment the number up to the given input)
3. Using the below formula, calculate the factorial of a number = f*i.
4. Print the output i.e the calculated factorial."
78,"celsius = int(input(""Enter the Temperature in Celsius :\n""))
fahrenheit = (1.8 * celsius) + 32
print(""Temperature in Fahrenheit :"", fahrenheit)","1. Define temperature in Celsius units.
2. Apply in the formula Fahrenheit = (1.8 * celsius) + 32.
3. Print the temperature in Fahrenheit"
79,"class Node:

    def __init__(self, data):
        self.data = data
        self.next = None

class LinkedList:

    def __init__(self):
        self.head = None

    def push(self, new_data):
        new_node = Node(new_data)
        new_node.next = self.head
        self.head = new_node

    def printMiddle(self):
        slow_ptr = self.head
        fast_ptr = self.head

        if self.head is not None:
            while (fast_ptr is not None and fast_ptr.next is not None):
                fast_ptr = fast_ptr.next.next
                slow_ptr = slow_ptr.next
            print(""The middle element is: "", slow_ptr.data)

list1 = LinkedList()
list1.push(8)
list1.push(4)
list1.push(15)
list1.push(10)
list1.push(5)
list1.printMiddle()","1. Create two pointers slow and fast.
2. Initially both slow and fast will be pointing to the head of the list.
3. Now, make the slow pointer jump one place and the fast pointer jump two places until fast reaches the end of the list.4
4. When the fast pointer reaches the end of the list, the slow pointer will be pointing to the middle of the list.
5. In the end, return the data of the slow pointer, as the slow will be pointing to the middle of the list."
80,"# Program to delete a node in a doubly-linked list

# for Garbage collection
import gc

# A node of the doubly linked list
class Node:
        
        # Constructor to create a new node
        def __init__(self, data):
                self.data = data
                self.next = None
                self.prev = None

class DoublyLinkedList:
        # Constructor for empty Doubly Linked List
        def __init__(self):
                self.head = None

# Function to delete a node in a Doubly Linked List.
# head_ref --> pointer to head node pointer.
# dele --> pointer to node to be deleted

        def deleteNode(self, dele):
                
                # Base Case
                if self.head is None or dele is None:
                        return
                
                # If node to be deleted is head node
                if self.head == dele:
                        self.head = dele.next

                # Change next only if node to be deleted is NOT
                # the last node
                if dele.next is not None:
                        dele.next.prev = dele.prev
        
                # Change prev only if node to be deleted is NOT
                # the first node
                if dele.prev is not None:
                        dele.prev.next = dele.next
                # Finally, free the memory occupied by dele
                # Call python garbage collector
                gc.collect()


        # Given a reference to the head of a list and an
        # integer, inserts a new node on the front of list
        def push(self, new_data):

                # 1. Allocates node
                # 2. Put the data in it
                new_node = Node(new_data)

                # 3. Make next of new node as head and
                # previous as None (already None)
                new_node.next = self.head

                # 4. change prev of head node to new_node
                if self.head is not None:
                        self.head.prev = new_node

                # 5. move the head to point to the new node
                self.head = new_node


        def printList(self, node):
                while(node is not None):
                        print(node.data,end=' ')
                        node = node.next


# Driver program to test the above functions

# Start with empty list
dll = DoublyLinkedList()

# Let us create the doubly linked list 10<->8<->4<->2
dll.push(2);
dll.push(4);
dll.push(8);
dll.push(10);

print (""\n Original Linked List"",end=' ')
dll.printList(dll.head)

# delete nodes from doubly linked list
dll.deleteNode(dll.head)
dll.deleteNode(dll.head.next)
dll.deleteNode(dll.head.next)
# Modified linked list will be NULL<-8->NULL
print(""\n Modified Linked List"",end=' ')
dll.printList(dll.head)

# This code is contributed by Nikhil Kumar Singh(nickzuck_007)
","1. If the list is empty, then there is nothing to delete, return.
2. If the node to be deleted is the head node, then update the head node to point to the next node.
3. If the node to be deleted is the tail node, then update the tail node to point to the previous node.
4. If the node to be deleted is not the head or tail node, then update the previous node’s next pointer to point to the next node, and update the next node’s previous pointer to point to the previous node.
5. Free the memory allocated to the node to be deleted."
81,"Operators = set(['+', '-', '*', '/', '(', ')', '^'])  # collection of Operators

Priority = {'+':1, '-':1, '*':2, '/':2, '^':3} # dictionary having priorities of Operators
 
 
def infixToPostfix(expression): 

    stack = [] # initialization of empty stack

    output = '' 

    

    for character in expression:

        if character not in Operators:  # if an operand append in postfix expression

            output+= character

        elif character=='(':  # else Operators push onto stack

            stack.append('(')

        elif character==')':

            while stack and stack[-1]!= '(':

                output+=stack.pop()

            stack.pop()

        else: 

            while stack and stack[-1]!='(' and Priority[character]<=Priority[stack[-1]]:

                output+=stack.pop()

            stack.append(character)

    while stack:

        output+=stack.pop()

    return output


expression = input('Enter infix expression ')

print('infix notation: ',expression)

print('postfix notation: ',infixToPostfix(expression))","1. Reverse the given infix expression , change ‘(’ to ‘)’ and ‘)’ to ‘)’ .

2. Convert this expression to postfix using the following steps .

3. Scan all the symbols one by one from left to right in the obtained Infix Expression.

4. If the reading symbol is operand, then immediately append it to the Postfix Expression .

5. If the reading symbol is left parenthesis ‘( ‘, then Push it onto the Stack.

6. If the reading symbol is right parenthesis ‘)’, then Pop all the contents of the stack until the respective left parenthesis is popped and append each popped symbol to Postfix Expression.

7. If the reading symbol is operator (+ , – , * , /), then Push it onto the Stack. However, first pop the operators which are already on the stack that have higher or equal precedence than the current operator and append them to the postfix . If open parenthesis is there on top of the stack then push the operator into the stack.

8. Keep repeating the above steps until all symbols are exhausted . If the input is over, pop all the remaining symbols from the stack and append them to the postfix .

9. Now reverse this postfix expression , to get the final prefix expression ."
82,"# Python3 code to Check for
# balanced parentheses in an expression
open_list = [""["",""{"",""(""]
close_list = [""]"",""}"","")""]

# Function to check parentheses
def check(myStr):
        stack = []
        for i in myStr:
                if i in open_list:
                        stack.append(i)
                elif i in close_list:
                        pos = close_list.index(i)
                        if ((len(stack) > 0) and
                                (open_list[pos] == stack[len(stack)-1])):
                                stack.pop()
                        else:
                                return ""Unbalanced""
        if len(stack) == 0:
                return ""Balanced""
        else:
                return ""Unbalanced""


# Driver code
string = ""{[]{()}}""
print(string,""-"", check(string))

string = ""[{}{})(]""
print(string,""-"", check(string))

string = ""((()""
print(string,""-"",check(string))
","1. Initialize an empty stack.
2. Iterate i from 0 to length(expression).
    a. Store the current character in a variable ‘ch’.
    b. If stack is empty: Push ‘ch’ to the stack
    c. Else if current character is a closing bracket and of the top of the stack contains an opening bracket of the same type
    Remove the top of the stack: Else, push ‘ch’ to the stack
3. If the stack is empty, return true, else false."
83,"# Python3 code to Check for
# balanced parentheses in an expression
def check(expression):
        
        open_tup = tuple('({[')
        close_tup = tuple(')}]')
        map = dict(zip(open_tup, close_tup))
        queue = []

        for i in expression:
                if i in open_tup:
                        queue.append(map[i])
                elif i in close_tup:
                        if not queue or i != queue.pop():
                                return ""Unbalanced""
        if not queue:
                return ""Balanced""
        else:
                return ""Unbalanced""

# Driver code
string = ""{[]{()}}""
print(string, ""-"", check(string))

string = ""((()""
print(string,""-"",check(string))
","1. Initialize an empty stack.
2. Iterate i from 0 to length(expression).
    a. Store the current character in a variable ‘ch’.
    b. If stack is empty: Push ‘ch’ to the stack
    c. Else if current character is a closing bracket and of the top of the stack contains an opening bracket of the same type
    Remove the top of the stack: Else, push ‘ch’ to the stack
3. If the stack is empty, return true, else false."
84,"# Python3 code to Check for
# balanced parentheses in an expression
def check(my_string):
        brackets = ['()', '{}', '[]']
        while any(x in my_string for x in brackets):
                for br in brackets:
                        my_string = my_string.replace(br, '')
        return not my_string

# Driver code
string = ""{[]{()}}""
print(string, ""-"", ""Balanced""
        if check(string) else ""Unbalanced"")
","1. Initialize an empty stack.
2. Iterate i from 0 to length(expression).
    a. Store the current character in a variable ‘ch’.
    b. If stack is empty: Push ‘ch’ to the stack
    c. Else if current character is a closing bracket and of the top of the stack contains an opening bracket of the same type
    Remove the top of the stack: Else, push ‘ch’ to the stack
3. If the stack is empty, return true, else false."
85,"# Python3 program to remove consecutive
# same words

# Function to find the size of
# manipulated sequence
def removeConsecutiveSame(v):

        n = len(v)

        # Start traversing the sequence
        i = 0
        while(i < n - 1):
                
                # Compare the current string with
                # next one Erase both if equal
                if ((i + 1) < len(v)) and (v[i] == v[i + 1]):
                
                        # Erase function delete the element and
                        # also shifts other element that's why
                        # i is not updated
                        v = v[:i]
                        v = v[:i]

                        # Update i, as to check from previous
                        # element again
                        if (i > 0):
                                i -= 1

                        # Reduce sequence size
                        n = n - 2
                
                # Increment i, if not equal
                else:
                        i += 1
        
        # Return modified size
        return len(v[:i - 1])
        
# Driver Code
if __name__ == '__main__':
        v = [""tom"", ""jerry"", ""jerry"", ""tom""]
        print(removeConsecutiveSame(v))
        
# This code is contributed by SHUBHAMSINGH10
","1- Start traversing the sequence by storing it in vector.
  a) Check if the current string is equal to next string
     if yes, erase both from the vector.
  b) And check the same till last.
2- Return vector size."
86,"# Python implementation of above method

# Function to find the size of manipulated sequence
def removeConsecutiveSame(v):
        st = []

        # Start traversing the sequence
        for i in range(len(v)):
                
                # Push the current string if the stack
                # is empty
                if (len(st) == 0):
                        st.append(v[i])
                else:
                        Str = st[-1]

                        # compare the current string with stack top
                        # if equal, pop the top
                        if (Str == v[i]):
                                st.pop()

                        # Otherwise push the current string
                        else:
                                st.append(v[i])

        # Return stack size
        return len(st)

# Driver code
if __name__ == '__main__':
        V = [ ""ab"", ""aa"", ""aa"", ""bcd"", ""ab""]
        print(removeConsecutiveSame(V))

# This code is contributed by PranchalK.
","1- Start traversing the strings and push into stack.
    a) Check if the current string is same as the string
       at the top of the stack
        i) If yes, pop the string from top.
        ii) Else push the current string.
2- Return stack size if the whole sequence is traversed."
87,"# Function to print element and NGE pair for all elements of list
def printNGE(arr):

        for i in range(0, len(arr), 1):

                next = -1
                for j in range(i+1, len(arr), 1):
                        if arr[i] < arr[j]:
                                next = arr[j]
                                break

                print(str(arr[i]) + "" -- "" + str(next))


# Driver program to test above function
arr = [11, 13, 21, 3]
printNGE(arr)

# This code is contributed by Sunny Karira
","1. Traverse the array from index 0 to end.
2. For each element start another loop from index i+1 to end.
3. If a greater element is found in the second loop then print it and break the loop, else print -1.                "
88,"# Python program to print next greater element using stack

# Stack Functions to be used by printNGE()


def createStack():
        stack = []
        return stack


def isEmpty(stack):
        return len(stack) == 0


def push(stack, x):
        stack.append(x)


def pop(stack):
        if isEmpty(stack):
                print(""Error : stack underflow"")
        else:
                return stack.pop()


'''prints element and NGE pair for all elements of
arr[] '''


def printNGE(arr):
        s = createStack()
        element = 0
        next = 0

        # push the first element to stack
        push(s, arr[0])

        # iterate for rest of the elements
        for i in range(1, len(arr), 1):
                next = arr[i]

                if isEmpty(s) == False:

                        # if stack is not empty, then pop an element from stack
                        element = pop(s)

                        '''If the popped element is smaller than next, then
                                a) print the pair
                                b) keep popping while elements are smaller and
                                stack is not empty '''
                        while element < next:
                                print(str(element) + "" -- "" + str(next))
                                if isEmpty(s) == True:
                                        break
                                element = pop(s)

                        '''If element is greater than next, then push
                        the element back '''
                        if element > next:
                                push(s, element)

                '''push next to stack so that we can find
                next greater for it '''
                push(s, next)

        '''After iterating over the loop, the remaining
        elements in stack do not have the next greater
        element, so print -1 for them '''

        while isEmpty(s) == False:
                element = pop(s)
                next = -1
                print(str(element) + "" -- "" + str(next))


# Driver code
arr = [11, 13, 21, 3]
printNGE(arr)

# This code is contributed by Sunny Karira
","1. Push the first element to stack.
2. Pick the rest of the elements one by one and follow the following steps in the loop. 
3. Mark the current element as next.
    a. If the stack is not empty, compare top most element of stack with next.
    b. If next is greater than the top element, Pop element from the stack. next is the next greater element for the popped element.
    c. Keep popping from the stack while the popped element is smaller than next. next becomes the next greater element for all such popped elements.
    d. Finally, push the next in the stack.
4. After the loop in step 2 is over, pop all the elements from the stack and print -1 as the next element for them.           "
89,"# Python3 code
class Solution:
        def nextLargerElement(self, arr, n):
                # code here
                s = []
                for i in range(len(arr)):
                        while s and s[-1].get(""value"") < arr[i]:
                                d = s.pop()
                                arr[d.get(""ind"")] = arr[i]
                        s.append({""value"": arr[i], ""ind"": i})
                while s:
                        d = s.pop()
                        arr[d.get(""ind"")] = -1
                return arr


if __name__ == ""__main__"":
        print(Solution().nextLargerElement([6, 8, 0, 1, 3], 5))
","1. The array elements are pushed into the stack until it finds a greatest element in the right of array. In other words the elements are popped from stack when top of the stack value is smaller in the current array element.
2. Once all the elements are processed in the array but stack is not empty. The left out elements in the stack doesn’t encounter any greatest element . So pop the element from stack and change it’s index value as -1 in the array."
